time,pm2_5,pm10,nitrogen_dioxide,ozone,temp,rhum,prcp,snwd,wdir,wspd,wpgt,pres,tsun,cldc,coco,aqi_pm25,aqi_pm10,aqi_o3,aqi_no2,aqi,dominant_pollutant,aqi_category,aqi_color,hour,day_of_week,day_of_month,month,is_weekend,time_of_day,season,aqi_lag_1h,aqi_lag_3h,aqi_lag_6h,aqi_lag_12h,aqi_lag_24h,pm25_lag_1h,pm25_lag_6h,pm25_lag_24h,aqi_ma_6h,aqi_std_6h,aqi_ma_12h,aqi_std_12h,aqi_ma_24h,aqi_std_24h,pm25_ma_6h,pm25_ma_24h,temp_rhum_interaction,pm_ratio,wind_pollution
2025-08-09 00:00:00+00:00,13.6,27.9,5.5,49.0,26.1,89.0,0.1,,265.0,26.3,,1005.7,,4.0,17.0,54,26,23,3,54,pm25,Moderate,yellow,0,5,9,8,1,night,summer,54.0,54.0,54.0,54.0,54.0,13.6,13.6,13.6,54.0,1.4142135623730951,54.0,1.4142135623730951,54.0,1.4142135623730951,13.6,13.6,23.229,0.4874377262463711,357.68
2025-08-09 01:00:00+00:00,14.3,29.9,7.1,48.0,26.1,89.0,0.0,,267.0,25.6,,1006.3,,5.0,3.0,56,28,22,4,56,pm25,Moderate,yellow,1,5,9,8,1,night,summer,54.0,54.0,54.0,54.0,54.0,13.6,13.6,13.6,55.0,1.4142135623730951,55.0,1.4142135623730951,55.0,1.4142135623730951,13.95,13.95,23.229,0.47824487475335276,366.08000000000004
2025-08-09 02:00:00+00:00,16.2,34.8,9.3,47.0,26.5,89.0,0.0,,272.0,26.6,,1006.1,,7.0,3.0,60,32,22,5,60,pm25,Moderate,yellow,2,5,9,8,1,night,summer,56.0,54.0,54.0,54.0,54.0,14.3,13.6,13.6,56.666666666666664,3.0550504633038944,56.666666666666664,3.0550504633038944,56.666666666666664,3.0550504633038944,14.700000000000001,14.700000000000001,23.585,0.4655038648314704,430.92
2025-08-09 03:00:00+00:00,17.2,39.2,10.4,48.0,27.4,82.0,0.1,,273.0,25.9,,1006.7,,7.0,17.0,62,36,22,5,62,pm25,Moderate,yellow,3,5,9,8,1,night,summer,60.0,54.0,54.0,54.0,54.0,16.2,13.6,13.6,58.0,3.6514837167011085,58.0,3.6514837167011085,58.0,3.6514837167011085,15.325,15.325,22.467999999999996,0.43876431723680515,445.47999999999996
2025-08-09 04:00:00+00:00,18.7,45.1,9.4,51.0,28.8,74.0,0.0,,268.0,23.4,,1007.1,,4.0,3.0,65,42,24,5,65,pm25,Moderate,yellow,4,5,9,8,1,night,summer,62.0,56.0,54.0,54.0,54.0,17.2,13.6,13.6,59.4,4.449719092257399,59.4,4.449719092257399,59.4,4.449719092257399,16.0,16.0,21.312,0.4146249528835281,437.58
2025-08-09 05:00:00+00:00,18.5,45.3,7.2,56.0,29.8,69.0,0.0,,259.0,22.0,,1007.3,,3.0,3.0,64,42,26,4,64,pm25,Moderate,yellow,5,5,9,8,1,night,summer,65.0,60.0,54.0,54.0,54.0,18.7,13.6,13.6,60.166666666666664,4.400757510550505,60.166666666666664,4.400757510550505,60.166666666666664,4.400757510550505,16.416666666666668,16.416666666666668,20.562,0.4083795059711707,407.0
2025-08-09 06:00:00+00:00,18.3,46.2,5.4,61.0,30.7,64.0,0.0,,252.0,22.7,,1007.4,,5.0,2.0,64,43,28,3,64,pm25,Moderate,yellow,6,5,9,8,1,morning,summer,64.0,62.0,54.0,54.0,54.0,18.5,13.6,13.6,61.833333333333336,3.371448748930745,60.714285714285715,4.270608298368658,60.714285714285715,4.270608298368658,17.2,16.685714285714287,19.648,0.3960953226120647,415.41
2025-08-09 07:00:00+00:00,19.2,49.2,4.2,66.0,30.7,66.0,0.0,,245.0,23.8,,1007.0,,8.0,3.0,66,46,31,2,66,pm25,Moderate,yellow,7,5,9,8,1,morning,summer,64.0,65.0,56.0,54.0,54.0,18.3,14.3,13.6,63.5,2.1679483388678897,61.375,4.373213921133976,61.375,4.373213921133976,18.016666666666666,17.0,20.262,0.39023597081360134,456.96
2025-08-09 08:00:00+00:00,19.0,47.7,3.4,70.0,30.9,65.0,0.0,,241.0,24.5,,1006.6,,8.0,3.0,66,44,32,2,66,pm25,Moderate,yellow,8,5,9,8,1,morning,summer,66.0,64.0,60.0,54.0,54.0,19.2,16.2,13.6,64.5,1.5165750888103313,61.888888888888886,4.371625682868002,61.888888888888886,4.371625682868002,18.483333333333334,17.22222222222222,20.085,0.3983145007442192,465.5
2025-08-09 09:00:00+00:00,18.3,45.9,3.2,71.0,30.7,66.0,0.0,,244.0,24.5,,1006.0,,7.0,3.0,64,42,33,2,64,pm25,Moderate,yellow,9,5,9,8,1,morning,summer,66.0,64.0,62.0,54.0,54.0,19.0,17.2,13.6,64.83333333333333,0.9831920802502128,62.1,4.175324338699132,62.1,4.175324338699132,18.666666666666668,17.330000000000002,20.262,0.3986841245288774,448.35
2025-08-09 10:00:00+00:00,19.3,50.4,4.0,67.0,30.6,67.0,0.0,,243.0,24.1,,1005.4,,5.0,3.0,66,47,31,2,66,pm25,Moderate,yellow,10,5,9,8,1,morning,summer,64.0,66.0,65.0,54.0,54.0,18.3,18.7,13.6,65.0,1.0954451150103686,62.45454545454545,4.131915690418584,62.45454545454545,4.131915690418584,18.766666666666666,17.509090909090908,20.502000000000002,0.3829289101406719,465.13000000000005
2025-08-09 11:00:00+00:00,17.5,44.4,5.4,60.0,30.0,69.0,0.0,,245.0,23.8,,1005.0,,6.0,3.0,62,41,28,3,62,pm25,Moderate,yellow,11,5,9,8,1,morning,summer,66.0,66.0,64.0,54.0,54.0,19.3,18.5,13.6,64.66666666666667,1.6329931618554745,62.416666666666664,3.9418116124288334,62.416666666666664,3.9418116124288334,18.599999999999998,17.508333333333333,20.7,0.3941352672237112,416.5
2025-08-09 12:00:00+00:00,19.7,48.8,8.6,49.0,29.4,72.0,0.1,,244.0,24.5,,1004.6,,8.0,17.0,67,45,23,4,67,pm25,Moderate,yellow,12,5,9,8,1,afternoon,summer,62.0,64.0,64.0,54.0,54.0,17.5,18.3,13.6,65.16666666666667,1.8348478592697417,63.5,3.118857599710631,62.76923076923077,3.9823327785324993,18.833333333333332,17.676923076923078,21.167999999999996,0.4036802524538432,482.65
2025-08-09 13:00:00+00:00,20.3,49.8,10.9,45.0,28.7,75.0,0.0,,248.0,24.1,,1004.8,,8.0,3.0,68,46,21,5,68,pm25,Moderate,yellow,13,5,9,8,1,afternoon,summer,67.0,66.0,66.0,56.0,54.0,19.7,19.2,13.6,65.5,2.1679483388679026,64.5,2.3159525823376472,63.142857142857146,4.073500533129537,19.016666666666666,17.864285714285714,21.525,0.4076223369008655,489.23
2025-08-09 14:00:00+00:00,19.7,44.2,14.1,41.0,28.1,78.0,0.0,,243.0,22.0,,1005.0,,7.0,3.0,67,41,19,7,67,pm25,Moderate,yellow,14,5,9,8,1,afternoon,summer,68.0,62.0,66.0,60.0,54.0,20.3,19.0,13.6,65.66666666666667,2.250925735484575,65.08333333333333,1.9286515936521664,63.4,4.04969134626332,19.133333333333333,17.986666666666668,21.918000000000003,0.44569127395307795,433.4
2025-08-09 15:00:00+00:00,19.1,40.3,16.4,37.0,27.6,82.0,0.0,,242.0,23.0,,1005.3,,5.0,3.0,66,37,17,8,66,pm25,Moderate,yellow,15,5,9,8,1,afternoon,summer,67.0,67.0,64.0,62.0,54.0,19.7,18.3,13.6,66.0,2.0976176963403335,65.41666666666667,1.6764862244009475,63.5625,3.9660013447636016,19.26666666666667,18.05625,22.632,0.47393364928909965,439.3
2025-08-09 16:00:00+00:00,18.4,36.0,17.1,36.0,27.2,84.0,0.0,,251.0,23.8,,1005.9,,7.0,3.0,64,33,17,9,64,pm25,Moderate,yellow,16,5,9,8,1,afternoon,summer,66.0,68.0,66.0,65.0,54.0,19.1,19.3,13.6,65.66666666666667,2.250925735484575,65.33333333333333,1.7232808737106815,63.588235294117645,3.8415300260672827,19.116666666666667,18.076470588235296,22.848,0.5110969139746118,437.91999999999996
2025-08-09 17:00:00+00:00,18.0,34.7,16.8,35.0,27.1,85.0,0.0,,256.0,21.2,,1007.0,,8.0,3.0,63,32,16,8,63,pm25,Moderate,yellow,17,5,9,8,1,evening,summer,64.0,67.0,62.0,64.0,54.0,18.4,17.5,13.6,65.83333333333333,1.9407902170679827,65.25,1.8153386861560088,63.55555555555556,3.729409702892157,19.2,18.072222222222223,23.035,0.5187170398547593,381.59999999999997
2025-08-09 18:00:00+00:00,17.4,33.3,15.8,36.0,26.9,86.0,0.0,,247.0,20.9,,1007.1,,8.0,3.0,62,31,17,8,62,pm25,Moderate,yellow,18,5,9,8,1,evening,summer,63.0,66.0,67.0,64.0,54.0,18.0,19.7,13.6,65.0,2.366431913239865,65.08333333333333,2.020725942163708,63.473684210526315,3.6418618720013067,18.816666666666666,18.03684210526316,23.134,0.5225068316266779,363.65999999999997
